Whoop VTX;;;;;;;;
;1;2;3;4;5;6;7;8
A;5740;5760;5780;5800;5820;5840;5860;5880
B;5705;5685;5665;5645;5885;5905;5925;5945
C;5865;5845;5825;5805;5785;5765;5745;5725
D;5658;5695;5732;5769;5806;5843;5880;5917
E;5733;5752;5771;5790;5809;5828;5847;5866
F;5362;5399;5436;5473;5510;5547;5584;5621
Quantum RC832;;;;;;;;
;1;2;3;4;5;6;7;8
A;5865;5845;5825;5805;5785;5765;5745;5725
B;5733;5752;5771;5790;5809;5828;5847;5866
E;5705;5685;5665;5645;5885;5905;5925;5945
F;5740;5760;5780;5800;5820;5840;5860;5880
R;5658;5695;5732;5769;5806;5843;5880;5917
L;5362;5399;5436;5473;5510;5547;5584;5621
X;4990;5020;5050;5080;5110;5140;5170;5200
FatShark;;;;;;;;
;1;2;3;4;5;6;7;8
F;5740;5760;5780;5800;5820;5840;5860;5880
R;5658;5695;5732;5769;5806;5843;5880;5917
A;5865;5845;5825;5805;5785;5765;5745;5725
E;5705;5685;5665;5645;5885;5905;5925;5945
